Date,Tweets,Trending,Retweets,Favs,Comments
2017-01-26,"""@romoabcnews .  first   interview since taking office.  Tonight on     tonight.  """,,5900.0,42000.0,4700.0
2017-01-26,As your President I have no higher duty than to protect the lives of the American people.,,27000.0,143000.0,26000.0
2017-01-26,Beginning today the United States of America gets back control of its borders. Full speech from today   ,,21000.0,103000.0,16000.0
2017-01-27,I promise that our administration will ALWAYS have your back. We will ALWAYS be with you!,,27000.0,140000.0,34000.0
2017-01-27,Congratulations Secretary Mattis!,,17000.0,105000.0,6200.0
2017-01-27,Statement on International Holocaust Remembrance Day,,9800.0,54000.0,10000.0
2017-01-27,". "" Mike Pence will be speaking at todays ""  -- You have our full support!",,15000.0,83000.0,9300.0
2017-01-27,The   is so important. To all of you marching --- you have my full support!,MarchForLife,42000.0,173000.0,18000.0
2017-01-27,Mexico has taken advantage of the U.S. for long enough. Massive trade deficits & little help on the very weak border must change NOW!,,28000.0,150000.0,29000.0
2017-01-27,Look forward to seeing final results of VoteStand. Gregg Phillips and crew say at least 3000000 votes were illegal. We must do better!,,16000.0,82000.0,30000.0
2017-01-28,Today we remember the crew of the Space Shuttle Challenger 31 years later. ,,30000.0,160000.0,14000.0
2017-01-28,...dwindling subscribers and readers.They got me wrong right from the beginning and still have not changed course and never will. DISHONEST,,15000.0,98000.0,33000.0
2017-01-28,Thr coverage about me in the   and the   gas been so false and angry that the times actually apologized to its.....,"nytimes, washingtonpost",12000.0,74000.0,21000.0
2017-01-28,The failing   has been wrong about me from the very beginning. Said I would lose the primaries then the general election. FAKE NEWS!,nytimes,19000.0,102000.0,29000.0
2017-01-29,I will be interviewed by   on   tonight at 11pm. Enjoy!,"TheBrodyFile, CBNNews",10000.0,63000.0,19000.0
2017-01-29,Statement Regarding Recent Executive Order Concerning Extreme Vetting ,,15000.0,64000.0,13000.0
2017-01-29,...Senators should focus their energies on ISIS illegal immigration and border security instead of always looking to start World War III.,,38000.0,158000.0,45000.0
2017-01-29,The joint statement of former presidential candidates John McCain & Lindsey Graham is wrong - they are sadly weak on immigration. The two...,,22000.0,100000.0,24000.0
2017-01-29,Christians in the Middle-East have been executed in large numbers. We cannot allow this horror to continue!,,54000.0,209000.0,50000.0
2017-01-29,Our country needs strong borders and extreme vetting NOW. Look what is happening all over Europe and indeed the world - a horrible mess!,,46000.0,204000.0,60000.0
2017-01-29,Somebody with aptitude and conviction should buy the FAKE NEWS and failing   and either run it correctly or let it fold with dignity!,nytimes,20000.0,104000.0,35000.0
2017-01-30,The American dream is back. We’re going to create an environment for small business like we haven’t had in many many decades!,,32000.0,166000.0,27000.0
2017-01-30,Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?,,30000.0,152000.0,39000.0
2017-01-30,I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 800 P.M. (W.H.),,23000.0,119000.0,19000.0
2017-01-30,"If the ban were announced with a one week notice the ""bad"" would rush into our country during that week. A lot of bad ""dudes"" out there!",,32000.0,160000.0,47000.0
2017-01-30,There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!,,32000.0,162000.0,30000.0
2017-01-30,protesters and the tears of Senator Schumer. Secretary Kelly said that all is going well with very few problems. MAKE AMERICA SAFE AGAIN!,,22000.0,125000.0,22000.0
2017-01-30,Only 109 people out of 325000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage.....,,29000.0,123000.0,25000.0
2017-01-31,"""When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesnt work!""",,36000.0,168000.0,53000.0
2017-01-31,Nancy Pelosi and Fake Tears Chuck Schumer held a rally  at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!,,28000.0,142000.0,38000.0
2017-01-31,The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.,,26000.0,119000.0,57000.0
2017-02-01,Everybody is arguing whether or not it is a BAN. Call it what you want it is about keeping bad people (with bad intentions) out of country!,,56000.0,236000.0,55000.0
2017-02-01,Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man respected by all.,,31000.0,236000.0,38000.0
2017-02-01,Join me live from the  .n,,6000.0,50000.0,7000.0
2017-02-01,Getting ready to deliver a VERY IMPORTANT DECISION!  800 P.M.,,15000.0,96000.0,19000.0
2017-02-02,Thank you  ! We would love to have you!,,24000.0,117000.0,11000.0
2017-02-02,Iran was on its last legs and ready to collapse until the U.S. came along and gave it a life-line in the form of the Iran Deal $150 billion,,22000.0,91000.0,20000.0
2017-02-02,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!,,26000.0,99000.0,14000.0
2017-02-02,"""Attending Chief Ryan Owens Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!""",,15000.0,116000.0,11000.0
2017-02-02,Congratulations to Rex Tillerson on being sworn in as our new Secretary of State. He will be a star!,,15000.0,108000.0,8400.0
2017-02-02,If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?,,58000.0,201000.0,40000.0
2017-02-02,Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!,,34000.0,141000.0,54000.0
2017-02-02,Iran is rapidly taking over more and more of Iraq even after the U.S. has squandered three trillion dollars there. Obvious long ago!,,19000.0,87000.0,17000.0
2017-02-03,"We must keep ""evil"" out of our country!",,41000.0,192000.0,78000.0
2017-02-03,A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.,,38000.0,152000.0,41000.0
2017-02-03,Professional anarchists thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!,,39000.0,160000.0,40000.0
2017-02-03,Meeting with biggest business leaders this morning. Good jobs are coming back to U.S. health care and tax bills are being crafted NOW!,,18000.0,118000.0,11000.0
2017-02-03,Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!,,30000.0,139000.0,13000.0
2017-02-03,"Iran is playing with fire - they dont appreciate how ""kind"" President Obama was to them. Not me!",,49000.0,147000.0,22000.0
2017-02-03,Yes Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard!,,21000.0,109000.0,26000.0
2017-02-04,"""Why arent the lawyers looking at and using the Federal Court decision in Boston which is at conflict with ridiculous lift ban decision?""",,16000.0,91000.0,21000.0
2017-02-04,Because the ban was lifted by a judge many very bad and dangerous people may be pouring into our country. A terrible decision,,27000.0,127000.0,49000.0
2017-02-04,What is our country coming to when a judge can halt a Homeland Security travel ban and anyone even with bad intentions can come into U.S.?,,30000.0,139000.0,61000.0
2017-02-04,MAKE AMERICA GREAT AGAIN!,,60000.0,239000.0,53000.0
2017-02-04,After being forced to apologize for its bad and inaccurate coverage of me after winning the election the FAKE NEWS   is still lost!,nytimes,16000.0,95000.0,24000.0
2017-02-04,The opinion of this so-called judge which essentially takes law-enforcement away from our country is ridiculous and will be overturned!,,30000.0,148000.0,67000.0
2017-02-04,"""Interesting that certain Middle-Eastern countries agree with the ban. They know if certain people are allowed in its death & destruction!""",,26000.0,130000.0,23000.0
2017-02-04,When a country is no longer able to say who can and who cannot  come in & out especially for reasons of safety &.security - big trouble!,,35000.0,164000.0,28000.0
